IVOL,S11
0.0552285,5.19442
0.094604,5.21146
0.0858307,4.79071
0.0711039,4.88035
0.0806593,3.19383
0.0507512,5.29462
0.202015,4.56665
0.129068,5.12423
0.118483,4.84853
0.151175,3.90622
0.189743,3.93483
0.222848,4.64147
0.221664,4.66689
0.269964,4.76686
0.246606,4.07291
0.241811,4.33513
0.193617,4.61008
0.122116,4.00325
0.244939,4.75124
0.185149,3.92448
0.15416,4.49699
0.213161,3.97705
0.244357,4.71399
0.195228,4.09581
0.259643,4.77896
0.0685511,4.28382
0.137701,4.75629
0.176799,4.32088
0.20204,4.55197
0.310116,4.551
0.264773,4.84356
0.308157,4.32001
0.363365,4.71439
0.0787447,5.66158
0.0981245,5.06998
0.103509,5.64516
0.0670073,5.28696
0.145739,4.98895
0.117241,4.56292
0.221836,3.8867
0.100284,4.6493
0.0973802,1.78902
0.344781,4.53238
0.116788,5.21579
0.26189,4.79013
0.0594287,5.02203
0.139842,5.01582
0.0515401,2.61673
0.110142,6.55819
0.243854,4.54419
0.244956,4.43935
0.326968,4.97099
0.0806076,3.91845
0.313679,4.1833
0.0458955,4.64716
0.0839809,1.79865
0.0960917,4.85746
0.363098,4.92795
0.0636991,5.16106
0.154072,4.89818
0.133134,5.01197
0.36982,4.29375
0.332155,4.94435
0.0625581,3.51636
0.0766368,4.71577
0.262735,4.13856
0.150912,4.8263
0.226072,4.09484
0.287082,4.95168
0.260965,4.48405
0.229597,4.7994
0.0607897,8.07703
0.122515,4.8524
0.245416,4.3285
0.386093,4.62537
0.0754583,2.21374
0.0734597,6.84958
0.0831026,2.97796
0.110226,6.97216
0.0932174,2.08562
0.07486,3.12965
0.254482,4.42517
0.0534098,8.01171
0.164714,4.0257
0.0423022,6.05382
0.233791,3.85709
0.340712,4.60615
0.0802674,5.28412
0.229248,3.91445
0.0945588,5.76327
0.243364,4.42839
0.0614577,3.70371
0.0960098,5.07631
0.108416,4.79337
0.245719,4.41571
0.271431,4.61165
0.249032,4.11349
0.241707,3.94405
0.17628,4.23526
0.269419,4.47354
0.272346,4.46119
0.11915,4.68968
0.310006,4.29131
0.363609,4.73817
0.142125,4.46684
0.265855,4.31457
0.0942647,5.09507
0.098475,4.76217
0.261037,4.8645
0.109748,4.79633
0.0727019,4.34613
0.106219,3.97669
0.1128,3.79112
0.0632864,5.65618
0.0932145,4.06847
0.0951182,3.69316
0.0552285,5.20771
0.0946041,5.26052
0.0858307,4.84373
0.071104,4.92796
0.0806593,3.2151
0.0507512,5.33562
0.202015,4.63349
0.129068,5.11396
0.118483,4.91541
0.151175,3.84554
0.189743,4.00723
0.222848,4.69434
0.221664,4.71684
0.269965,4.72064
0.246606,4.12899
0.241811,4.39955
0.193617,4.66943
0.122116,3.9357
0.244939,4.75378
0.185149,4.00147
0.15416,4.41584
0.213161,4.03915
0.244357,4.72303
0.195228,4.16111
0.259643,4.77809
0.0685511,4.27627
0.137701,4.75876
0.176799,4.26153
0.20204,4.62209
0.310116,4.60633
0.264773,4.79435
0.308157,4.2847
0.363365,4.76554
0.0787447,5.71034
0.0981245,5.11557
0.103509,5.69229
0.0670073,5.31712
0.145739,5.02563
0.117241,4.48735
0.221836,3.90255
0.100284,4.63843
0.0973801,1.79219
0.344781,4.56011
0.116788,5.2043
0.26189,4.76599
0.0594287,5.03339
0.139842,5.03362
0.0515401,2.64087
0.110142,6.56437
0.243854,4.54804
0.244956,4.43299
0.326967,4.98782
0.0806076,3.90852
0.313679,4.19508
0.0458954,4.65624
0.0839809,1.80395
0.0960917,4.85375
0.363098,4.94296
0.0636991,5.1797
0.154072,4.89968
0.133134,5.01556
0.36982,4.30475
0.332155,4.96037
0.062558,3.50127
0.0766368,4.71996
0.262735,4.15292
0.150912,4.83942
0.226072,4.11306
0.287082,4.97016
0.260965,4.51338
0.229597,4.82865
0.0607896,8.07867
0.122515,4.85373
0.245416,4.30245
0.386093,4.60716
0.0754583,2.23639
0.0734597,6.86349
0.0831026,3.00219
0.110226,6.98084
0.0932174,2.0962
0.07486,3.11802
0.254481,4.41679
0.0534098,8.01847
0.164714,4.06204
0.0423022,6.07931
0.233791,3.87422
0.340712,4.58575
0.0802673,5.29723
0.229248,3.93103
0.0945588,5.78679
0.243364,4.42277
0.0614577,3.7024
0.0960098,5.08276
0.108416,4.80964
0.245719,4.40813
0.271431,4.58751
0.249032,4.1301
0.241707,3.95751
0.17628,4.19605
0.269419,4.5034
0.272346,4.49015
0.11915,4.70317
0.310006,4.30321
0.363609,4.71944
0.142124,4.47416
0.265855,4.32921
0.0942646,5.10983
0.0984749,4.77714
0.261037,4.89549
0.109748,4.8083
0.0727019,4.33112
0.106219,3.9855
0.1128,3.79458
0.0632864,5.67532
0.0932145,4.06712
0.0951182,3.68568
0.0552285,5.23034
0.094604,5.27426
0.0858307,4.85586
0.0711039,4.94668
0.0806593,3.20115
