Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
96.116505	0.027341	5.105210	0.096117	0.005356	
97.087379	0.015756	5.126842	0.097087	0.003073	
98.058252	0.027341	5.116026	0.098058	0.005344	
99.029126	0.050512	5.105210	0.099029	0.009894	
100.000000	0.027341	5.083578	0.100000	0.005378	
100.970874	0.050512	5.083578	0.100971	0.009936	
101.941748	0.027341	5.072762	0.101942	0.005390	
102.912621	0.038926	5.072762	0.102913	0.007674	
103.883495	0.038926	5.072762	0.103883	0.007674	
104.854369	0.015756	5.061946	0.104854	0.003113	
105.825243	0.027341	5.072762	0.105825	0.005390	
106.796117	0.004171	5.061946	0.106796	0.000824	
107.766990	0.027341	5.061946	0.107767	0.005401	
108.737864	0.015756	5.072762	0.108738	0.003106	
109.708738	0.015756	5.072762	0.109709	0.003106	
110.679612	0.015756	5.061946	0.110680	0.003113	
111.650485	0.038926	5.072762	0.111650	0.007674	
112.621359	0.027341	5.083578	0.112621	0.005378	
113.592233	0.038926	5.061946	0.113592	0.007690	
114.563107	0.015756	5.072762	0.114563	0.003106	
115.533981	0.027341	5.072762	0.115534	0.005390	
116.504854	0.015756	5.061946	0.116505	0.003113	
117.475728	0.015756	5.061946	0.117476	0.003113	
118.446602	0.062097	5.061946	0.118447	0.012267	
119.417476	0.038926	5.072762	0.119417	0.007674	
120.388350	0.038926	5.051129	0.120388	0.007706	
121.359223	0.038926	5.051129	0.121359	0.007706	
122.330097	0.027341	5.040313	0.122330	0.005425	
123.300971	0.015756	5.040313	0.123301	0.003126	
124.271845	0.015756	5.029497	0.124272	0.003133	
125.242718	0.015756	5.029497	0.125243	0.003133	
126.213592	0.015756	5.018681	0.126214	0.003139	
127.184466	0.015756	5.029497	0.127184	0.003133	
128.155340	0.027341	5.061946	0.128155	0.005401	
129.126214	0.015756	5.018681	0.129126	0.003139	
130.097087	0.015756	5.040313	0.130097	0.003126	
131.067961	0.015756	5.040313	0.131068	0.003126	
132.038835	0.027341	5.040313	0.132039	0.005425	
133.009709	0.038926	5.040313	0.133010	0.007723	
133.980583	0.050512	5.029497	0.133981	0.010043	
134.951456	0.027341	5.018681	0.134951	0.005448	
135.922330	0.050512	5.029497	0.135922	0.010043	
136.893204	0.038926	5.029497	0.136893	0.007740	
137.864078	0.038926	5.029497	0.137864	0.007740	
138.834951	0.038926	5.007865	0.138835	0.007773	
139.805825	0.027341	4.986233	0.139806	0.005483	
140.776699	0.027341	4.986233	0.140777	0.005483	
141.747573	0.038926	4.997049	0.141748	0.007790	
142.718447	0.015756	4.997049	0.142718	0.003153	
143.689320	-0.007415	4.997049	0.143689	-0.001484	
144.660194	0.015756	4.964600	0.144660	0.003174	
145.631068	0.004171	4.975417	0.145631	0.000838	
146.601942	0.004171	4.975417	0.146602	0.000838	
147.572816	-0.007415	5.007865	0.147573	-0.001481	
148.543689	0.015756	4.986233	0.148544	0.003160	
149.514563	0.004171	4.975417	0.149515	0.000838	
150.485437	0.015756	4.986233	0.150485	0.003160	
151.456311	0.015756	5.018681	0.151456	0.003139	
152.427184	0.015756	4.997049	0.152427	0.003153	
153.398058	0.038926	4.975417	0.153398	0.007824	
154.368932	0.038926	4.986233	0.154369	0.007807	
155.339806	0.038926	5.007865	0.155340	0.007773	
156.310680	0.015756	4.986233	0.156311	0.003160	
157.281553	0.038926	4.975417	0.157282	0.007824	
158.252427	0.050512	4.997049	0.158252	0.010108	
159.223301	0.038926	4.964600	0.159223	0.007841	
160.194175	0.015756	4.975417	0.160194	0.003167	
161.165049	0.015756	4.975417	0.161165	0.003167	
162.135922	0.038926	4.975417	0.162136	0.007824	
163.106796	0.062097	4.953784	0.163107	0.012535	
164.077670	0.073682	4.953784	0.164078	0.014874	
165.048544	0.085267	4.953784	0.165049	0.017213	
166.019417	0.143194	4.932152	0.166019	0.029033	
166.990291	0.166364	4.953784	0.166990	0.033583	
167.961165	0.189535	4.964600	0.167961	0.038177	
168.932039	0.247461	4.953784	0.168932	0.049954	
169.902913	0.270631	4.997049	0.169903	0.054158	
170.873786	0.328558	4.986233	0.170874	0.065893	
171.844660	0.386484	4.975417	0.171845	0.077679	
172.815534	0.409654	4.975417	0.172816	0.082336	
173.786408	0.490751	4.986233	0.173786	0.098421	
174.757282	0.525507	4.997049	0.174757	0.105163	
175.728155	0.513922	4.986233	0.175728	0.103068	
176.699029	0.560263	4.986233	0.176699	0.112362	
177.669903	0.583433	4.975417	0.177670	0.117263	
178.640777	0.595018	4.964600	0.178641	0.119852	
179.611650	0.606604	4.964600	0.179612	0.122186	
180.582524	0.629774	4.953784	0.180583	0.127130	
181.553398	0.641359	4.964600	0.181553	0.129187	
