Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
166.990291	0.215949	4.996616	0.166990	0.043219	
167.961165	0.273875	4.996616	0.167961	0.054812	
168.932039	0.297046	4.996616	0.168932	0.059449	
169.902913	0.320216	4.985800	0.169903	0.064226	
170.873786	0.366557	4.985800	0.170874	0.073520	
171.844660	0.378143	4.974984	0.171845	0.076009	
172.815534	0.401313	4.974984	0.172816	0.080666	
173.786408	0.412898	4.985800	0.173786	0.082815	
174.757282	0.436069	4.974984	0.174757	0.087652	
175.728155	0.447654	4.974984	0.175728	0.089981	
176.699029	0.482410	4.974984	0.176699	0.096967	
177.669903	0.493995	4.985800	0.177670	0.099080	
178.640777	0.493995	4.985800	0.178641	0.099080	
179.611650	0.528751	4.996616	0.179612	0.105822	
180.582524	0.528751	4.996616	0.180583	0.105822	
181.553398	0.551921	5.007432	0.181553	0.110220	
182.524272	0.540336	5.007432	0.182524	0.107907	
183.495146	0.551921	4.996616	0.183495	0.110459	
184.466019	0.551921	4.996616	0.184466	0.110459	
185.436893	0.540336	4.996616	0.185437	0.108140	
186.407767	0.551921	4.985800	0.186408	0.110699	
187.378641	0.551921	5.007432	0.187379	0.110220	
188.349515	0.540336	4.985800	0.188350	0.108375	
189.320388	0.528751	4.985800	0.189320	0.106051	
190.291262	0.528751	4.996616	0.190291	0.105822	
191.262136	0.517166	4.985800	0.191262	0.103728	
192.233010	0.528751	4.953352	0.192233	0.106746	
193.203883	0.517166	4.985800	0.193204	0.103728	
194.174757	0.528751	4.964168	0.194175	0.106513	
195.145631	0.528751	4.974984	0.195146	0.106282	
196.116505	0.551921	4.974984	0.196117	0.110939	
197.087379	0.598262	4.985800	0.197087	0.119993	
198.058252	0.586677	4.996616	0.198058	0.117415	
199.029126	0.575092	4.996616	0.199029	0.115096	
200.000000	0.598262	5.029065	0.200000	0.118961	
200.970874	0.598262	5.018248	0.200971	0.119217	
201.941748	0.586677	5.018248	0.201942	0.116909	
202.912621	0.586677	5.007432	0.202913	0.117161	
203.883495	0.551921	5.007432	0.203883	0.110220	
204.854369	0.551921	5.018248	0.204854	0.109983	
205.825243	0.551921	4.985800	0.205825	0.110699	
206.796117	0.575092	4.985800	0.206796	0.115346	
207.766990	0.575092	4.985800	0.207767	0.115346	
208.737864	0.575092	4.974984	0.208738	0.115597	
209.708738	0.575092	4.974984	0.209709	0.115597	
210.679612	0.598262	4.964168	0.210680	0.120516	
211.650485	0.621433	4.974984	0.211650	0.124912	
212.621359	0.633018	4.964168	0.212621	0.127517	
213.592233	0.656189	4.985800	0.213592	0.131611	
214.563107	0.690944	4.953352	0.214563	0.139490	
215.533981	0.702530	4.974984	0.215534	0.141212	
216.504854	0.748871	4.985800	0.216505	0.150201	
217.475728	0.772041	4.985800	0.217476	0.154848	
218.446602	0.783626	5.007432	0.218447	0.156493	
219.417476	0.841553	5.007432	0.219417	0.168061	
220.388350	0.876308	4.996616	0.220388	0.175380	
221.359223	0.899479	5.007432	0.221359	0.179629	
222.330097	0.934235	5.007432	0.222330	0.186570	
223.300971	0.957405	4.996616	0.223301	0.191611	
224.271845	0.945820	4.985800	0.224272	0.189703	
225.242718	0.980576	5.007432	0.225243	0.195824	
226.213592	0.968990	4.942536	0.226214	0.196051	
227.184466	0.968990	4.953352	0.227184	0.195623	
228.155340	1.003746	4.964168	0.228155	0.202198	
229.126214	1.003746	4.953352	0.229126	0.202640	
230.097087	1.003746	4.964168	0.230097	0.202198	
231.067961	1.003746	4.964168	0.231068	0.202198	
232.038835	0.992161	4.964168	0.232039	0.199864	
233.009709	1.038502	4.964168	0.233010	0.209200	
233.980583	1.050087	4.964168	0.233981	0.211533	
234.951456	1.061672	4.985800	0.234951	0.212939	
235.922330	1.084843	4.985800	0.235922	0.217587	
236.893204	1.096428	4.974984	0.236893	0.220388	
237.864078	1.154354	4.964168	0.237864	0.232537	
238.834951	1.165940	4.985800	0.238835	0.233852	
239.805825	1.177525	4.985800	0.239806	0.236176	
240.776699	1.235451	4.964168	0.240777	0.248874	
241.747573	1.281792	4.985800	0.241748	0.257089	
242.718447	1.293377	4.974984	0.242718	0.259976	
243.689320	1.304963	4.974984	0.243689	0.262305	
244.660194	1.304963	4.974984	0.244660	0.262305	
245.631068	1.316548	4.974984	0.245631	0.264634	
246.601942	1.304963	4.964168	0.246602	0.262876	
247.572816	1.328133	4.964168	0.247573	0.267544	
248.543689	1.316548	4.942536	0.248544	0.266371	
249.514563	1.351304	4.942536	0.249515	0.273403	
250.485437	1.386059	4.974984	0.250485	0.278606	
251.456311	1.409230	4.964168	0.251456	0.283880	
252.427184	1.432400	4.974984	0.252427	0.287921	
253.398058	1.443986	4.974984	0.253398	0.290249	
254.368932	1.478741	4.985800	0.254369	0.296591	
255.339806	1.525082	4.996616	0.255340	0.305223	
256.310680	1.536668	4.985800	0.256311	0.308209	
257.281553	1.559838	4.996616	0.257282	0.312179	
258.252427	1.606179	4.996616	0.258252	0.321453	
259.223301	1.606179	4.985800	0.259223	0.322151	
260.194175	1.617764	5.007432	0.260194	0.323073	
261.165049	1.640935	4.974984	0.261165	0.329837	
262.135922	1.640935	4.985800	0.262136	0.329122	
263.106796	1.652520	4.985800	0.263107	0.331445	
264.077670	1.675691	4.985800	0.264078	0.336093	
265.048544	1.722032	4.996616	0.265049	0.344640	
266.019417	1.745202	4.953352	0.266019	0.352328	
266.990291	1.791543	4.974984	0.266990	0.360110	
267.961165	1.814714	4.964168	0.267961	0.365563	
268.932039	1.849469	4.974984	0.268932	0.371754	
269.902913	1.861055	4.964168	0.269903	0.374898	
270.873786	1.872640	4.985800	0.270874	0.375595	
271.844660	1.907396	4.996616	0.271845	0.381737	
272.815534	1.907396	4.985800	0.272816	0.382566	
273.786408	1.942151	4.996616	0.273786	0.388693	
274.757282	1.918981	4.985800	0.274757	0.384889	
275.728155	1.953737	5.018248	0.275728	0.389326	
276.699029	1.953737	5.007432	0.276699	0.390167	
277.669903	1.942151	5.007432	0.277670	0.387854	
278.640777	1.965322	5.007432	0.278641	0.392481	
279.611650	2.000078	5.018248	0.279612	0.398561	
280.582524	1.988492	4.996616	0.280583	0.397968	
281.553398	2.023248	5.007432	0.281553	0.404049	
282.524272	2.046419	4.996616	0.282524	0.409561	
283.495146	2.058004	4.985800	0.283495	0.412773	
284.466019	2.081174	4.996616	0.284466	0.416517	
285.436893	2.081174	4.985800	0.285437	0.417420	
