Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
93.203883	0.035219	5.167944	0.093204	0.006815	
94.174757	0.012049	5.146311	0.094175	0.002341	
95.145631	0.023634	5.157127	0.095146	0.004583	
96.116505	0.023634	5.124679	0.096117	0.004612	
97.087379	0.023634	5.135495	0.097087	0.004602	
98.058252	0.023634	5.113863	0.098058	0.004622	
99.029126	0.035219	5.124679	0.099029	0.006872	
100.000000	0.035219	5.124679	0.100000	0.006872	
100.970874	0.023634	5.124679	0.100971	0.004612	
101.941748	0.023634	5.081415	0.101942	0.004651	
102.912621	0.023634	5.135495	0.102913	0.004602	
103.883495	0.000463	5.113863	0.103883	0.000091	
104.854369	0.035219	5.146311	0.104854	0.006844	
105.825243	0.023634	5.135495	0.105825	0.004602	
106.796117	0.035219	5.157127	0.106796	0.006829	
107.766990	0.046804	5.135495	0.107767	0.009114	
108.737864	0.023634	5.157127	0.108738	0.004583	
109.708738	0.035219	5.157127	0.109709	0.006829	
110.679612	0.035219	5.157127	0.110680	0.006829	
111.650485	0.046804	5.167944	0.111650	0.009057	
112.621359	0.035219	5.157127	0.112621	0.006829	
113.592233	0.035219	5.178760	0.113592	0.006801	
114.563107	0.046804	5.157127	0.114563	0.009076	
115.533981	0.058390	5.146311	0.115534	0.011346	
116.504854	0.035219	5.157127	0.116505	0.006829	
117.475728	0.023634	5.146311	0.117476	0.004592	
118.446602	0.035219	5.135495	0.118447	0.006858	
119.417476	0.046804	5.146311	0.119417	0.009095	
120.388350	0.023634	5.124679	0.120388	0.004612	
121.359223	0.035219	5.146311	0.121359	0.006844	
122.330097	0.023634	5.146311	0.122330	0.004592	
123.300971	0.012049	5.135495	0.123301	0.002346	
124.271845	0.012049	5.146311	0.124272	0.002341	
125.242718	0.023634	5.146311	0.125243	0.004592	
126.213592	0.046804	5.146311	0.126214	0.009095	
127.184466	0.012049	5.167944	0.127184	0.002331	
128.155340	0.012049	5.146311	0.128155	0.002341	
129.126214	0.046804	5.146311	0.129126	0.009095	
130.097087	0.058390	5.157127	0.130097	0.011322	
131.067961	0.046804	5.157127	0.131068	0.009076	
132.038835	0.058390	5.157127	0.132039	0.011322	
133.009709	0.046804	5.146311	0.133010	0.009095	
133.980583	0.046804	5.146311	0.133981	0.009095	
134.951456	0.035219	5.146311	0.134951	0.006844	
135.922330	0.046804	5.124679	0.135922	0.009133	
136.893204	0.046804	5.113863	0.136893	0.009152	
137.864078	0.058390	5.103047	0.137864	0.011442	
138.834951	0.046804	5.103047	0.138835	0.009172	
139.805825	0.035219	5.103047	0.139806	0.006902	
140.776699	0.023634	5.092231	0.140777	0.004641	
141.747573	0.035219	5.081415	0.141748	0.006931	
142.718447	0.035219	5.103047	0.142718	0.006902	
143.689320	0.035219	5.113863	0.143689	0.006887	
144.660194	0.035219	5.103047	0.144660	0.006902	
145.631068	0.035219	5.092231	0.145631	0.006916	
146.601942	0.035219	5.113863	0.146602	0.006887	
147.572816	0.058390	5.103047	0.147573	0.011442	
148.543689	0.046804	5.113863	0.148544	0.009152	
149.514563	0.058390	5.103047	0.149515	0.011442	
150.485437	0.058390	5.124679	0.150485	0.011394	
151.456311	0.069975	5.103047	0.151456	0.013712	
152.427184	0.046804	5.113863	0.152427	0.009152	
153.398058	0.069975	5.124679	0.153398	0.013654	
154.368932	0.046804	5.113863	0.154369	0.009152	
155.339806	0.069975	5.103047	0.155340	0.013712	
156.310680	0.116316	5.092231	0.156311	0.022842	
157.281553	0.081560	5.092231	0.157282	0.016017	
158.252427	0.116316	5.092231	0.158252	0.022842	
159.223301	0.116316	5.081415	0.159223	0.022890	
160.194175	0.139486	5.081415	0.160194	0.027450	
161.165049	0.174242	5.092231	0.161165	0.034217	
162.135922	0.185827	5.081415	0.162136	0.036570	
163.106796	0.232168	5.092231	0.163107	0.045593	
164.077670	0.266924	5.092231	0.164078	0.052418	
165.048544	0.324850	5.103047	0.165049	0.063658	
166.019417	0.371191	5.103047	0.166019	0.072739	
166.990291	0.405947	5.092231	0.166990	0.079719	
167.961165	0.452288	5.081415	0.167961	0.089008	
168.932039	0.498629	5.113863	0.168932	0.097505	
169.902913	0.533385	5.113863	0.169903	0.104302	
170.873786	0.556555	5.103047	0.170874	0.109063	
171.844660	0.591311	5.103047	0.171845	0.115874	
172.815534	0.591311	5.092231	0.172816	0.116120	
173.786408	0.591311	5.081415	0.173786	0.116367	
174.757282	0.614482	5.081415	0.174757	0.120927	
175.728155	0.614482	5.048966	0.175728	0.121704	
176.699029	0.626067	5.059782	0.176699	0.123734	
177.669903	0.637652	5.059782	0.177670	0.126024	
178.640777	0.637652	5.059782	0.178641	0.126024	
179.611650	0.683993	5.059782	0.179612	0.135182	
180.582524	0.683993	5.070598	0.180583	0.134894	
181.553398	0.707164	5.081415	0.181553	0.139167	
182.524272	0.718749	5.070598	0.182524	0.141748	
183.495146	0.730334	5.081415	0.183495	0.143727	
184.466019	0.741919	5.103047	0.184466	0.145388	
185.436893	0.753505	5.092231	0.185437	0.147971	
186.407767	0.776675	5.103047	0.186408	0.152198	
187.378641	0.788260	5.103047	0.187379	0.154469	
188.349515	0.799846	5.103047	0.188350	0.156739	
189.320388	0.776675	5.113863	0.189320	0.151876	
190.291262	0.788260	5.103047	0.190291	0.154469	
191.262136	0.788260	5.092231	0.191262	0.154797	
192.233010	0.799846	5.081415	0.192233	0.157406	
193.203883	0.811431	5.048966	0.193204	0.160712	
194.174757	0.857772	5.059782	0.194175	0.169527	
195.145631	0.904113	5.059782	0.195146	0.178686	
196.116505	0.915698	5.059782	0.196117	0.180976	
197.087379	0.938869	5.070598	0.197087	0.185159	
198.058252	0.973624	5.048966	0.198058	0.192836	
199.029126	0.985210	5.059782	0.199029	0.194714	
200.000000	1.031551	5.081415	0.200000	0.203005	
200.970874	1.089477	5.092231	0.200971	0.213949	
201.941748	1.101062	5.092231	0.201942	0.216224	
202.912621	1.147403	5.124679	0.202913	0.223898	
203.883495	1.147403	5.135495	0.203883	0.223426	
204.854369	1.205329	5.135495	0.204854	0.234706	
205.825243	1.205329	5.135495	0.205825	0.234706	
206.796117	1.251670	5.113863	0.206796	0.244760	
207.766990	1.263256	5.113863	0.207767	0.247026	
208.737864	1.286426	5.113863	0.208738	0.251557	
209.708738	1.332767	5.103047	0.209709	0.261171	
210.679612	1.344352	5.070598	0.210680	0.265127	
211.650485	1.390694	5.081415	0.211650	0.273682	
212.621359	1.402279	5.081415	0.212621	0.275962	
213.592233	1.425449	5.059782	0.213592	0.281721	
