Déplacement en Z corrigé (µm)	Effort normal (mN)
1,441713	0,000433
1,462581	-0,010383
1,483181	0,011249
1,507079	-0,010383
1,527948	0,011249
1,555414	0,022065
1,593046	0,011249
1,62408	0,032881
1,658682	0,043697
1,70318	0,022065
1,751246	0,043697
1,80288	0,022065
1,854245	0,043697
1,919343	0,011249
1,977574	0,011249
2,049539	0,011249
2,108039	0,000433
2,176436	0,000433
2,234937	0,011249
2,303334	-0,010383
2,365133	0,000433
2,423633	-0,010383
2,482133	-0,0212
2,530199	0,011249
2,581833	0,000433
2,629899	0,011249
2,681533	-0,010383
2,722732	0,032881
2,767499	0,032881
2,798533	0,011249
2,839733	0,022065
2,887799	0,022065
2,928998	0,011249
2,976796	0,022065
3,017995	0,032881
3,059195	0,011249
3,11056	0,022065
3,165492	0,000433
3,213558	-0,010383
3,268222	-0,032016
3,326722	-0,032016
3,391821	-0,0212
3,440155	-0,010383
3,501686	0,000433
3,556887	0,000433
3,615387	-0,010383
3,680486	-0,010383
3,72882	0,011249
3,794187	0,000433
3,862584	0,011249
3,910919	0,011249
3,979316	0,011249
4,034517	0,011249
4,099347	0,000433
4,147413	0,000433
4,209212	0,000433
4,267444	-0,010383
4,31551	-0,010383
4,360277	-0,0212
4,414941	-0,042832
4,459708	-0,032016
4,511073	-0,0212
4,562438	-0,053648
4,59374	-0,032016
4,645105	-0,010383
4,689872	-0,0212
4,73767	0,011249
4,765673	-0,010383
4,806873	-0,010383
4,868403	-0,0212
4,920037	0,000433
4,968103	0,011249
5,019468	0,011249
5,077968	0,032881
5,143335	0,000433
5,204866	0,011249
5,263366	0,022065
5,331763	-0,0212
5,396861	0,011249
5,465258	0,011249
5,520191	-0,010383
5,578691	-0,0212
5,630325	0,000433
5,675092	-0,010383
5,723158	-0,010383
5,774523	-0,010383
5,822589	-0,010383
5,857191	0,000433
5,901689	0,000433
5,932723	0,011249
5,973922	0,000433
6,015122	0,011249
6,056321	0,011249
6,093953	0,022065
6,135153	0,032881
6,183219	0,000433
6,234584	-0,0212
6,28265	-0,010383
6,334015	-0,0212
6,388678	-0,0212
6,454045	-0,0212
6,512546	-0,032016
6,577375	-0,0212
6,632576	0,000433
6,694644	0,000433
6,759742	-0,010383
6,811645	0,000433
6,880042	0,011249
6,941841	0,011249
7,006939	0,022065
7,055274	0,032881
7,106908	0,022065
7,16184	0,032881
7,196442	0,011249
7,247538	0,000433
7,292305	0,011249
7,330206	0,011249
7,377734	0,000433
7,409037	-0,010383
7,44337	-0,0212
7,484301	-0,0212
7,521932	-0,010383
7,549668	-0,0212
7,587299	-0,010383
7,628499	0,000433
7,669698	-0,032016
7,710898	-0,032016
7,755665	-0,0212
7,803731	-0,010383
7,855365	0,000433
7,913596	0,011249
7,978963	0,000433
8,040762	0,000433
8,099262	0,000433
8,171496	-0,010383
8,250058	0,011249
8,325322	0,011249
8,390689	0,011249
8,462654	0,000433
8,531319	0,000433
8,599985	-0,0212
8,665083	-0,032016
8,723584	-0,053648
8,765052	-0,0212
8,819984	-0,0212
8,878216	-0,0212
8,916116	-0,0212
8,954017	0,011249
8,995216	-0,010383
9,02625	0,000433
9,057284	0,011249
9,094916	0,011249
9,119084	0,000433
9,160014	0,000433
9,19078	0,000433
9,221814	0,022065
9,263013	-0,010383
9,314378	-0,010383
9,358876	-0,0212
9,403375	-0,010383
9,458307	-0,032016
9,509941	0,000433
9,568173	-0,010383
9,626673	-0,032016
9,678307	-0,0212
9,756869	-0,032016
9,825535	0,000433
9,884035	0,011249
9,949402	0,011249
10,007902	0,000433
10,073269	0,022065
10,138367	0,032881
10,200166	0,011249
10,255099	0,000433
10,313331	0,022065
10,354799	0,000433
10,402865	0,000433
10,450931	-0,0212
10,495429	-0,0212
10,536629	-0,0212
10,584426	-0,042832
10,622058	0,000433
10,669855	-0,0212
10,701158	-0,032016
10,742357	-0,0212
10,783557	0,000433
10,824756	-0,0212
10,862926	0,000433
10,924456	0,000433
10,969223	0,011249
11,020857	0,032881
11,075789	0,011249
11,134021	0,032881
11,188954	0,022065
11,243886	0,000433
11,299088	0,022065
11,363917	0,011249
11,411983	-0,010383
11,470215	0,000433
11,521848	0,011249
11,576512	-0,0212
11,607815	-0,0212
11,652313	-0,0212
11,706977	-0,0212
11,744878	-0,0212
11,789376	-0,0212
11,813812	0,011249
11,851713	0,000433
11,886046	-0,010383
11,930544	-0,0212
11,965146	0,022065
12,009913	0,011249
12,05771	0,022065
12,109075	0,022065
12,15741	0,000433
12,21894	0,000433
12,273873	0,022065
12,34227	0,011249
12,404069	0,000433
12,465868	-0,0212
12,534265	-0,010383
12,589735	-0,010383
12,664999	-0,0212
12,730097	-0,010383
12,795464	-0,010383
12,850665	-0,010383
12,919062	0,000433
12,967397	0,000433
13,02233	-0,010383
13,073963	0,011249
13,115432	0,022065
13,163229	0,032881
13,197831	0,011249
13,235462	0,000433
13,28326	0,022065
13,310995	0,000433
13,348627	0,000433
13,389557	0,000433
13,427458	-0,010383
13,458492	-0,010383
13,509588	-0,032016
13,557654	-0,0212
13,598854	-0,032016
13,64692	0,000433
13,694986	-0,0212
13,749918	-0,0212
13,794954	-0,0212
13,853186	-0,0212
13,92515	-0,010383
13,990248	0,000433
14,038852	0,011249
14,10395	0,011249
14,16245	0,022065
14,231116	0,011249
14,299513	0,011249
14,368179	0,011249
14,416514	0,000433
14,474745	0,011249
14,532977	0,000433
14,594507	0,000433
14,639274	-0,010383
14,68734	-0,010383
14,731839	-0,0212
14,776606	-0,032016
14,817805	-0,0212
14,852138	-0,0212
14,883172	-0,010383
14,924372	0,011249
14,962004	-0,010383
14,996605	0,000433
15,034506	0,011249
15,079273	0,000433
15,12707	0,011249
15,178435	0,011249
15,22677	0,000433
15,2883	0,022065
15,343233	0,011249
15,405032	0,000433
15,476997	-0,010383
15,538796	0,000433
15,607193	-0,0212
15,665693	-0,010383
15,730791	0,022065
15,78956	-0,0212
15,857958	-0,032016
15,91289	-0,010383
15,967823	-0,010383
16,022755	0,000433
16,067523	0,011249
16,11229	-0,010383
16,15019	-0,010383
16,198256	0,011249
16,236157	0,011249
16,273789	0,000433
16,314988	-0,010383
16,356187	0,000433
16,393819	-0,0212
16,43172	-0,0212
16,476218	-0,0212
16,524284	-0,042832
16,575649	-0,032016
16,623715	-0,032016
16,67508	-0,0212
16,733312	-0,032016
16,791812	0,011249
16,846745	-0,010383
16,898378	0,000433
16,95358	-0,042832
17,021977	-0,010383
17,080477	0,011249
17,132111	0,011249
17,197209	-0,0212
17,255709	0,000433
17,310642	0,011249
17,362007	0,000433
17,410342	-0,010383
17,461706	-0,0212
17,513071	-0,032016
17,550703	-0,0212
17,588604	-0,032016
17,643268	-0,0212
17,681168	-0,032016
17,712471	-0,032016
17,753133	-0,032016
17,797631	-0,042832
17,832233	-0,032016
17,880299	-0,0212
17,918199	-0,032016
17,962967	-0,032016
18,010764	-0,0212
18,065697	-0,010383
18,114031	-0,010383
18,168964	0,000433
18,227195	0,000433
18,292294	-0,010383
18,343927	-0,010383
18,412324	0,000433
18,474124	-0,0212
18,535923	-0,010383
18,597453	-0,032016
18,655953	-0,0212
18,710886	-0,032016
18,76252	-0,042832
18,807018	-0,0212
18,835022	-0,032016
18,882819	-0,042832
18,927586	-0,042832
18,981982	-0,032016
19,013284	-0,0212
19,041019	-0,010383
19,075352	0,000433
19,119582	-0,010383
19,16105	-0,010383
19,198951	0,011249
19,250316	-0,010383
19,294814	0,022065
19,346179	0,011249
19,40441	-0,010383
19,449178	-0,010383
19,507409	0,011249
19,559043	-0,010383
19,624141	-0,042832
19,679074	-0,0212
19,734006	-0,0212
19,785371	-0,010383
19,837005	-0,010383
19,888638	-0,0212
19,940003	0,011249
19,988069	-0,010383
20,039703	0,011249
20,08447	0,000433
20,132536	0,011249
20,170437	0,011249
20,211636	0,022065
20,269868	0,022065
20,317934	0,011249
20,362701	-0,010383
20,410498	0,000433
20,462132	0,000433
20,523663	-0,0212
20,575296	-0,0212
20,626661	-0,0212
20,678026	-0,010383
20,726361	-0,032016
20,784592	0,000433
20,835957	-0,0212
20,884023	-0,0212
20,935657	0,000433
20,987291	-0,010383
21,032058	0,000433
21,076825	0,022065
21,135057	0,000433
21,183123	0,022065
21,224591	0,022065
21,279255	0,022065
21,317424	0,022065
21,375656	0,022065
21,430319	-0,010383
21,478386	-0,010383
21,519854	-0,010383
21,574518	-0,042832
21,625614	-0,0212
21,667082	-0,042832
21,708282	-0,0212
21,746182	-0,0212
21,794248	-0,0212
21,845613	-0,0212
21,883782	-0,032016
21,938446	-0,010383
21,979914	0,000433
22,038146	-0,010383
22,08978	0,022065
22,151579	0,000433
22,203213	0,000433
22,271878	0,022065
22,336976	0,011249
22,405373	-0,010383
22,463874	-0,0212
22,53254	0,000433
22,59407	0,000433
22,655869	-0,042832
22,717668	-0,032016
22,762436	-0,032016
22,817099	-0,0212
22,855269	-0,0212
22,909933	-0,010383
22,957999	0,000433
22,985734	0,000433
23,023365	0,011249
23,054399	0,000433
23,082134	0,011249
23,129932	0,000433
23,157667	0,022065
23,192	0,000433
23,226333	-0,010383
23,267532	0,011249
23,308732	0,000433
23,373561	-0,0212
23,41476	0,000433
23,469693	-0,032016
23,534522	-0,0212
23,582857	-0,032016
23,651254	-0,032016
23,706456	-0,032016
23,768255	-0,010383
23,836921	-0,010383
23,89872	-0,010383
23,963818	-0,0212
24,019019	0,000433
24,077519	0,011249
24,142618	0,011249
24,187653	0,000433
24,25605	0,022065
24,310983	0,000433
24,352451	0,000433
24,403816	-0,010383
24,45848	-0,0212
24,509845	-0,010383
24,551313	-0,0212
24,592513	-0,0212
24,646908	-0,032016
24,677942	-0,042832
24,719141	-0,032016
24,763908	-0,053648
24,805108	-0,0212
24,849875	-0,032016
24,894642	-0,032016
24,942708	-0,010383
24,987475	-0,0212
25,045707	-0,010383
25,097341	-0,032016
25,162439	0,000433
25,210773	0,022065
25,272304	0,022065
25,337402	0,000433
25,385737	0,011249
25,450835	0,011249
25,505499	0,000433
25,5607	0,011249
25,618663	-0,010383
25,66343	-0,010383
25,714795	-0,032016
25,755995	-0,042832
25,804061	-0,042832
25,831796	-0,032016
25,872995	-0,042832
25,907328	-0,032016
25,951826	-0,032016
25,986428	-0,0212
26,024329	-0,010383
26,065528	-0,010383
26,116893	0,022065
26,151495	0,000433
26,213025	0,000433
26,261091	0,022065
26,319323	0,011249
26,384421	-0,010383
26,442921	0,000433
26,501153	-0,010383
26,556085	-0,010383
26,614317	-0,0212
26,679415	-0,032016
26,731049	-0,032016
26,785712	-0,032016
26,830748	-0,032016
26,88898	-0,0212
26,937046	-0,0212
26,985381	-0,0212
27,029879	-0,0212
27,081513	-0,010383
27,12931	-0,010383
27,167479	-0,010383
27,208948	0,011249
27,250147	0,011249
27,297944	0,000433
27,342711	0,000433
27,383911	0,000433
27,435276	0,000433
27,473176	0,000433
27,52784	-0,032016
27,575906	-0,0212
27,63057	-0,032016
27,681935	-0,0212
27,736868	-0,032016
27,788501	-0,0212
27,839866	-0,053648
27,8915	-0,032016
27,946433	-0,032016
27,998066	-0,010383
28,0497	-0,010383
28,097766	0,000433
28,142802	0,011249
28,204333	0,032881
28,252399	0,011249
28,293867	0,011249
28,345232	0,011249
28,406762	-0,0212
28,444663	0,000433
28,496028	-0,010383
28,530361	-0,0212
28,574859	-0,010383
28,619357	-0,032016
28,660557	-0,032016
28,69489	-0,032016
28,736089	-0,042832
28,767123	-0,032016
28,808323	-0,0212
28,856389	-0,010383
28,897588	0,000433
28,949222	0,011249
28,997288	0,000433
29,05222	0,000433
29,100555	0,011249
29,162354	0,022065
29,220586	0,011249
29,289252	-0,010383
29,351051	0,000433
29,41285	-0,010383
29,474649	-0,0212
29,553212	-0,0212
29,604846	-0,042832
29,663077	-0,0212
29,721577	-0,0212
29,772942	-0,0212
29,824576	-0,010383
29,882539	-0,032016
29,924007	-0,032016
29,965207	-0,0212
30,006675	-0,0212
30,047874	-0,010383
30,092641	-0,010383
30,130542	-0,010383
30,17201	0,011249
30,226674	-0,010383
30,27474	-0,032016
30,315939	-0,0212
30,373902	-0,010383
30,41537	-0,032016
30,466735	-0,032016
30,5181	-0,032016
30,569734	-0,032016
30,631265	-0,042832
30,686197	-0,032016
30,74113	-0,042832
30,799361	-0,053648
30,857862	-0,042832
30,916362	-0,032016
30,967996	-0,042832
31,026496	-0,042832
31,084996	-0,032016
31,143228	-0,010383
31,19816	-0,0212
31,256661	-0,032016
31,308294	-0,0212
31,366526	-0,010383
31,42119	-0,042832
31,47969	-0,0212
31,531055	-0,0212
31,58242	-0,0212
31,623619	-0,032016
31,678283	-0,053648
31,726618	-0,032016
31,767817	-0,053648
31,809017	-0,042832
31,846917	-0,032016
31,908448	-0,042832
31,956514	-0,032016
32,001281	-0,0212
32,049347	-0,0212
32,100981	-0,032016
32,155913	0,000433
32,210846	-0,0212
32,252314	-0,010383
32,313845	0,000433
32,375375	0,000433
32,420142	-0,0212
32,464909	-0,0212
32,519573	-0,0212
32,567639	-0,0212
32,608839	-0,0212
32,656905	-0,0212
32,70827	-0,0212
32,74617	-0,032016
32,797535	-0,032016
32,842034	-0,053648
32,879934	-0,042832
32,910968	-0,032016
32,955467	-0,053648
33,003533	-0,032016
33,055166	-0,053648
33,089768	-0,0212
33,141133	0,000433
