Déplacement en Z corrigé (µm)	Effort normal (mN)						
0,470226	0,013412						
0,558954	0,013412						
0,624321	0,024228						
0,703152	0,013412						
0,792418	0,013412						
0,86795	-0,00822						
0,94705	0,04586						
1,019284	0,024228						
1,094816	0,013412						
1,153316	0,024228						
1,215115	0,024228						
1,26345	0,024228						
1,30465	0,035044						
1,338983	0,035044						
1,366718	0,04586						
1,393915	0,024228						
1,418083	0,024228						
1,435115	0,024228						
1,452416	0,024228						
1,48648	0,035044						
1,507079	0,013412						
1,527948	0,035044						
1,568879	0,013412						
1,610078	0,024228						
1,651278	0,013412						
1,702642	0,013412						
1,750709	-0,00822						
1,798775	-0,00822						
1,857275	-0,00822						
1,912207	0,013412						
1,970708	0,002596						
2,035806	0,002596						
2,094306	0,013412						
2,159404	0,013412						
2,211038	0,024228						
2,279435	0,013412						
2,331069	-0,00822						
2,396167	0,002596						
2,4478	0,002596						
2,506301	0,002596						
2,557666	-0,019036						
2,605732	-0,00822						
2,650499	-0,00822						
2,701864	-0,00822						
2,74993	0,013412						
2,797727	-0,019036						
2,822432	-0,051485						
2,870229	-0,019036						
2,921594	-0,00822						
2,966361	-0,019036						
3,007561	-0,019036						
3,055627	-0,00822						
3,093528	-0,019036						
3,14846	-0,00822						
3,200094	-0,00822						
3,261624	-0,019036						
3,30969	0,002596						
3,37149	0,024228						
3,433289	0,002596						
3,478056	-0,019036						
3,539586	-0,019036						
3,594788	-0,040669						
3,663185	-0,019036						
3,707952	-0,040669						
3,77305	-0,040669						
3,834849	-0,019036						
3,89638	-0,019036						
3,951312	-0,051485						
4,013111	-0,051485						
4,061446	-0,029853						
4,119678	0,002596						
4,17461	0,002596						
4,226244	0,002596						
4,281177	0,002596						
4,325944	-0,00822						
4,377309	-0,00822						
4,431973	0,002596						
4,483606	-0,019036						
4,524806	0,002596						
4,572872	-0,019036						
4,627536	-0,040669						
4,665436	-0,029853						
4,713502	-0,019036						
4,754702	-0,051485						
4,789303	-0,019036						
4,8404	-0,00822						
4,898362	-0,029853						
4,943398	-0,00822						
4,988165	-0,00822						
5,03953	0,002596						
5,087596	-0,019036						
5,152963	-0,00822						
5,211195	-0,00822						
5,262829	0,002596						
5,324628	0,002596						
5,389726	0,013412						
5,444927	0,002596						
5,493262	-0,019036						
5,554792	-0,00822						
5,616323	0,002596						
5,671255	-0,00822						
5,725919	-0,029853						
5,767388	-0,019036						
5,822051	-0,040669						
5,863251	-0,019036						
5,904719	-0,040669						
5,939052	-0,019036						
5,990148	-0,019036						
6,038214	-0,019036						
6,072816	-0,00822						
6,104119	-0,00822						
6,138452	-0,00822						
6,179651	0,013412						
6,234584	-0,019036						
6,285949	0,002596						
6,334015	-0,00822						
6,378782	-0,019036						
6,440312	0,013412						
6,495514	-0,00822						
6,557044	-0,00822						
6,618574	-0,029853						
6,677075	-0,00822						
6,735575	-0,019036						
6,807271	-0,029853						
6,852307	-0,029853						
6,917674	-0,029853						
6,979204	0,024228						
7,027539	-0,029853						
7,089338	-0,00822						
7,140972	-0,00822						
7,202502	0,013412						
7,240403	-0,00822						
7,288469	0,002596						
7,333236	0,013412						
7,374435	0,013412						
7,419203	0,013412						
7,456834	-0,00822						
7,497765	-0,00822						
7,535666	-0,019036						
7,573566	-0,019036						
7,611198	-0,029853						
7,652129	-0,019036						
7,683163	-0,040669						
7,73096	-0,062301						
7,772428	-0,040669						
7,820225	-0,062301						
7,861694	-0,051485						
7,90976	-0,040669						
7,964692	-0,029853						
8,023193	-0,019036						
8,084992	-0,029853						
8,146791	-0,00822						
8,201992	-0,00822						
8,280555	0,002596						
8,342623	0,013412						
8,414588	0,013412						
8,479686	-0,019036						
8,538455	0,013412						
8,606852	-0,00822						
8,675518	-0,00822						
8,743915	-0,019036						
8,792249	-0,040669						
8,850481	-0,040669						
8,908712	-0,040669						
8,956778	-0,040669						
8,997978	-0,019036						
9,015816	-0,019036						
9,07351	-0,00822						
9,101245	-0,019036						
9,135578	-0,00822						
9,163313	-0,00822						
9,197377	-0,019036						
9,228411	0,002596						
9,259445	0,002596						
9,300645	-0,00822						
9,341844	0,002596						
9,396508	-0,029853						
9,437708	-0,00822						
9,489073	-0,019036						
9,544005	-0,029853						
9,602237	-0,029853						
9,660737	-0,029853						
9,722267	-0,040669						
9,797531	-0,029853						
9,852732	-0,051485						
9,921129	-0,040669						
9,97963	-0,029853						
10,03813	-0,040669						
10,09663	-0,019036						
10,155131	0,002596						
10,220229	-0,019036						
10,27543	0,002596						
10,330363	-0,00822						
10,37513	-0,00822						
10,426763	-0,019036						
10,467963	0,002596						
10,525926	0,002596						
10,564095	-0,019036						
10,611892	-0,00822						
10,659958	-0,029853						
10,69759	-0,019036						
10,752254	-0,029853						
10,793454	-0,029853						
10,84152	-0,019036						
10,889586	-0,019036						
10,931054	-0,029853						
10,97912	-0,019036						
11,030754	-0,00822						
11,088985	-0,019036						
11,133752	0,002596						
11,181818	0,002596						
11,24005	0,024228						
11,288385	-0,00822						
11,336451	0,002596						
11,394682	0,013412						
11,439449	-0,00822						
11,497412	0,002596						
11,545747	0,002596						
11,597112	-0,019036						
11,64161	-0,019036						
11,68281	-0,00822						
11,730876	-0,029853						
11,775374	-0,019036						
11,813275	-0,019036						
11,861072	-0,040669						
11,898973	-0,029853						
11,94374	-0,029853						
11,988238	-0,062301						
12,029706	-0,019036						
12,071174	-0,019036						
12,125838	-0,029853						
12,174173	0,002596						
12,232405	-0,019036						
12,294204	-0,019036						
12,352435	-0,019036						
12,414503	0,002596						
12,476302	0,002596						
12,537833	-0,00822						
12,6032	0,002596						
12,671597	-0,00822						
12,723231	-0,019036						
12,781462	-0,00822						
12,850128	-0,029853						
12,901762	-0,019036						
12,956694	-0,040669						
13,008059	-0,029853						
13,052826	-0,029853						
13,097593	-0,040669						
13,148958	-0,029853						
13,18356	-0,00822						
13,217893	-0,019036						
13,252494	-0,019036						
13,303591	-0,019036						
13,334625	-0,00822						
13,365659	0,024228						
13,413456	0,013412						
13,451356	-0,00822						
13,492556	-0,00822						
13,540353	0,002596						
13,595286	0,002596						
13,640053	-0,00822						
13,701583	-0,029853						
13,753217	-0,040669						
13,80815	-0,040669						
13,86968	-0,040669						
13,928181	-0,040669						
13,98998	-0,029853						
14,061676	-0,00822						
14,110279	-0,019036						
14,172078	0,002596						
14,237176	-0,019036						
14,289079	-0,019036						
14,350609	0,013412						
14,412409	0,002596						
14,467341	0,002596						
14,515676	0,013412						
14,563742	-0,00822						
14,621974	-0,00822						
14,659874	-0,00822						
14,704373	-0,019036						
14,748871	-0,040669						
14,793638	-0,029853						
14,841435	-0,040669						
14,872469	-0,040669						
14,920267	-0,051485						
14,951301	-0,029853						
14,9925	-0,029853						
15,043865	-0,040669						
15,081766	-0,029853						
15,123234	-0,019036						
15,174599	-0,00822						
15,229531	-0,019036						
15,284464	0,002596						
15,342964	-0,00822						
15,388	0,024228						
15,459965	0,002596						
15,528362	-0,00822						
15,590161	-0,019036						
15,655528	-0,00822						
15,717327	-0,019036						
15,782425	-0,00822						
15,850822	-0,019036						
15,91592	-0,029853						
15,970853	-0,040669						
16,025786	-0,040669						
16,073852	-0,00822						
