Déplacement en Z corrigé (µm)	Effort normal (mN)
0,096132	0,016008
0,096132	0,005192
0,096132	0,059272
0,106029	0,03764
0,099431	0,026824
0,096132	-0,005624
0,092833	0,016008
0,099431	0,005192
0,10273	-0,016441
0,10273	-0,016441
0,106029	-0,016441
0,106029	-0,027257
0,116194	-0,038073
0,119762	-0,038073
0,120031	-0,048889
0,137332	-0,027257
0,171396	-0,016441
0,20243	-0,005624
0,243629	-0,005624
0,298562	-0,005624
0,350195	0,005192
0,422429	0,026824
0,50126	0,005192
0,576793	-0,005624
0,662759	0,016008
0,74159	-0,005624
0,834155	0,005192
0,909956	-0,005624
0,998953	-0,016441
1,077784	-0,016441
1,143151	-0,005624
1,211548	-0,016441
1,259883	-0,027257
1,311248	-0,016441
1,338983	-0,005624
1,373315	-0,005624
1,393915	0,005192
1,417814	0,005192
1,431816	0,005192
1,44225	0,016008
1,459282	0,026824
1,490047	0,016008
1,494152	0,016008
1,535083	0,005192
1,565848	0,016008
1,616945	0,005192
1,651546	-0,016441
1,709778	0,005192
1,771308	-0,005624
1,826241	0,005192
1,881173	0,005192
1,953138	-0,005624
2,018236	-0,005624
2,086902	-0,016441
2,152	-0,027257
2,214068	0,005192
2,279435	0,005192
2,337935	0,016008
2,399734	0,016008
2,461534	0,03764
2,513167	0,005192
2,554636	-0,005624
2,616166	0,016008
2,667531	0,016008
2,702133	0,005192
2,74993	0,016008
2,780964	-0,005624
2,832329	-0,005624
2,876827	-0,016441
2,91116	-0,016441
2,949061	-0,016441
2,986692	-0,038073
3,038057	-0,027257
3,089691	-0,027257
3,127592	-0,027257
3,182524	-0,027257
3,227291	-0,027257
3,295957	-0,005624
3,35089	-0,016441
3,395657	-0,016441
3,454157	-0,005624
3,526122	0,005192
3,581055	-0,005624
3,639286	0,005192
3,704653	-0,005624
3,769751	0,005192
3,838148	-0,016441
3,886483	-0,016441
3,958448	-0,016441
4,010081	-0,027257
4,065014	-0,038073
4,123245	-0,027257
4,178178	-0,027257
4,23641	-0,027257
4,287775	-0,027257
4,319077	-0,027257
4,367143	-0,016441
4,41191	-0,038073
4,45311	0,005192
4,494578	0,005192
4,545674	0,016008
4,590173	-0,005624
4,624774	0,005192
4,665974	-0,016441
4,710472	0,005192
4,748373	0,005192
4,809903	0,005192
4,864836	-0,016441
4,916201	-0,016441
4,971133	-0,016441
5,032933	-0,027257
5,108196	-0,027257
5,15983	-0,027257
5,228496	-0,027257
5,290295	-0,038073
5,352094	-0,005624
5,413893	0,005192
5,462228	-0,005624
5,527326	0,016008
5,582259	0,016008
5,627026	-0,005624
5,671793	0,005192
5,723158	-0,005624
5,767925	-0,005624
5,805557	0,016008
5,843457	-0,005624
