Contact,Rayon_R_mm,E_star_GPa,delta1_µm,delta2_µm,k_delta1_MN/m,a_delta1_mm,k_delta2_MN/m,a_delta2_mm
cuivre ecroui_R5mm,5.0,82.41758241758242,0.5729789519999999,30.940863407999995,8.82275467186978,0.05352471167600999,57.084657460275835,0.34631358859234
cuivre ecroui_R50mm,50.0,82.41758241758242,5.729789519999999,309.40863407999996,88.22754671869778,0.5352471167600998,570.8465746027583,3.4631358859234003
acier allié_R5mm,5.0,109.8901098901099,13.41522,724.42188,56.920997883030836,0.2589905403677903,368.2881126469408,1.6757109125435807
acier allié_R50mm,50.0,109.8901098901099,134.1522,7244.2188,569.2099788303083,2.5899054036779026,3682.881126469409,16.75710912543581
