,H,Y,E,v,P_0y_Tresca,P_0y_VonMises,P_0y_Tabor,E_contact,F_0y_P_0y_Tresca_1e-06,F_0y_P_0y_VonMises_1e-06,F_0y_P_0y_Tabor_1e-06,F_0y_P_0y_Tresca_1e-04,F_0y_P_0y_VonMises_1e-04,F_0y_P_0y_Tabor_1e-04,F_0y_P_0y_Tresca_1e-03,F_0y_P_0y_VonMises_1e-03,F_0y_P_0y_Tabor_1e-03,delta1_R1e-06,delta2_R1e-06,delta1_R1e-04,delta2_R1e-04,delta1_R1e-03,delta2_R1e-03,Ratio_VonMises_Tresca,Ratio_Tabor_Tresca,Ratio_Tabor_VonMises
Plomb,60000000.0,20000000.0,16000000000.0,0.3,32000000.0,33400000.0,22000000.0,16430478537.687408,10.306188708275528,11.718919086867936,3.3490080983190254,103061.88708275529,117189.19086867938,33490.08098319026,10306188.708275529,11718919.086867936,3349008.0983190252,1.2001750256250003e-11,6.480945138375002e-10,1.2001750256250005e-09,6.480945138375003e-08,1.2001750256250004e-08,6.480945138375002e-07,1.04375,0.6875,0.6586826347305389
cuivre,600000000.0,200000000.0,120000000000.0,0.3,320000000.0,334000000.0,220000000.00000003,86424198775.65718,1959.354148208471,2227.9344358343437,636.6944265784854,19593541.482084714,22279344.358343437,6366944.265784855,1959354148.208471,2227934435.8343434,636694426.5784855,4.3378475625e-11,2.3424376837499998e-09,4.3378475625e-09,2.34243768375e-07,4.3378475625000005e-08,2.34243768375e-06,1.04375,0.6875000000000001,0.658682634730539
cuivre ecroui,930000000.0,310000000.0,120000000000.0,0.3,496000000.0,517700000.0,341000000.0,86424198775.65718,7296.38992865982,8296.549347242615,2370.970457774956,72963899.2865982,82965493.47242616,23709704.577749565,7296389928.65982,8296549347.242616,2370970457.774956,1.042167876890625e-10,5.6277065352093745e-09,1.042167876890625e-08,5.627706535209375e-07,1.042167876890625e-07,5.627706535209375e-06,1.04375,0.6875,0.6586826347305389
acier doux,2000000000.0,650000000.0,200000000000.0,0.3,1040000000.0,1085500000.0,715000000.0,117130307467.0571,49628.26611082727,56431.10672981736,16126.76323083767,496282661.10827285,564311067.2981737,161267632.30837673,49628266110.82728,56431106729.81736,16126763230.837671,2.6240006249999996e-10,1.4169603374999998e-08,2.6240006249999998e-08,1.4169603375e-06,2.624000625e-07,1.4169603374999999e-05,1.04375,0.6875,0.6586826347305389
acier allié,6000000000.0,2200000000.0,200000000000.0,0.45,3520000000.0,3674000000.0,2420000000.0,125391849529.78056,1797450.958085027,2043838.2157215732,584083.795217571,17974509580.850273,20438382157.215733,5840837952.175711,1797450958085.027,2043838215721.5732,584083795217.571,2.0606602500000003e-09,1.1127565350000001e-07,2.0606602500000005e-07,1.1127565350000003e-05,2.0606602500000005e-06,0.00011127565350000003,1.04375,0.6875,0.6586826347305389
polymère,100000000.0,50000000.0,1000000000.0,0.3,80000000.0,83500000.0,55000000.00000001,1094106866.8882232,2418.2911408926316,2749.78064256231,785.8265401679918,24182911.408926323,27497806.425623097,7858265.401679919,2418291140.8926315,2749780642.5623097,785826540.1679919,7.518358351406253e-09,4.059913509759376e-07,7.518358351406253e-07,4.0599135097593765e-05,7.518358351406253e-06,0.0004059913509759377,1.04375,0.6875000000000001,0.658682634730539
